"index","domain","score","confidence","decision","expected_decision","decision_matches_rule","inferred_next_product","commercial_verdict","risk_note"
"1","clinic3.it","81","0,88","buy_deep_analysis","buy_deep_analysis","True","deep_analysis","commercially_coherent_deep_analysis","none"
"2","studiorossidentale.it","55","0,88","watchlist","watchlist","True","none","commercially_coherent_watchlist","high_confidence_low_score_watchlist_ok"
"3","odontoiatriabrianza.it","66","0,66","nurture","nurture","True","nurture_signal","commercially_coherent_nurture","none"
"4","dentistalodi.it","50","0,53","watchlist","watchlist","True","none","commercially_coherent_watchlist","none"
"5","clinicaoralemilano.it","74","0,52","nurture","nurture","True","nurture_signal","commercially_coherent_nurture","low_confidence_nurture_watch"
"6","sorrisobergamo.it","62","0,56","watchlist","watchlist","True","none","commercially_coherent_watchlist","none"
"7","implantologiacomo.it","78","0,52","nurture","nurture","True","nurture_signal","commercially_coherent_nurture","low_confidence_nurture_watch"
"8","studiodentalepavia.it","76","0,54","nurture","nurture","True","nurture_signal","commercially_coherent_nurture","low_confidence_nurture_watch"
"9","ortodonziabrescia.it","50","0,57","watchlist","watchlist","True","none","commercially_coherent_watchlist","none"
"10","dentistavarese.it","68","0,88","nurture","nurture","True","nurture_signal","commercially_coherent_nurture","none"
